Country,LifeExp,InfantSurvival,Under5Survival,TBFree,PropMD,PropRN,PersExp,GovtExp,TotExp
Peru,73,0.979,0.975,0.99813,0.001080104,0.000620102,125,4453,4578
Philippines,68,0.976,0.968,0.99568,0.001047598,0.005574863,37,882,919
Poland,75,0.994,0.993,0.99973,0.001993865,0.005233928,495,21266,21761
Portugal,79,0.997,0.996,0.99976,0.003416013,0.004629833,1800,75458,77258
Qatar,77,0.991,0.989,0.99927,0.002618758,0.005943971,2186,163680,165866
Republic of Korea,79,0.995,0.995,0.99877,0.001561811,0.001915942,973,41715,42688
Republic of Moldova,68,0.984,0.981,0.99846,0.002909731,0.006790764,58,1504,1562
Romania,73,0.986,0.984,0.9986,0.001925274,0.004212242,250,9504,9754
Russian Federation,66,0.99,0.987,0.99875,0.004288359,0.008478449,277,12483,12760
Rwanda,52,0.903,0.84,0.99438,4.56E-05,0.000385355,19,220,239
Saint Kitts and Nevis,71,0.983,0.981,0.99983,0.00092,0.00396,478,9933,10411
Saint Lucia,75,0.988,0.986,0.99978,0.004595092,0.002030675,323,5068,5391
Saint Vincent and the Grenadines,70,0.983,0.98,0.99953,0.000741667,0.003725,218,6302,6520
Samoa,68,0.977,0.972,0.99975,0.00027027,0.001675676,113,2093,2206
San Marino,82,0.997,0.997,0.99995,0.035129032,0.07083871,3490,278163,281653
Sao Tome and Principe,61,0.937,0.904,0.99748,0.000522581,0.001987097,49,2419,2468
Saudi Arabia,70,0.979,0.974,0.99938,0.001417208,0.003065729,448,27621,28069
Senegal,59,0.94,0.884,0.99496,4.92E-05,0.000272283,38,504,542
Serbia,73,0.993,0.992,0.99959,0.001987717,0.00428728,212,7956,8168
Seychelles,72,0.988,0.987,0.99944,0.001406977,0.007372093,557,20502,21059
Sierra Leone,40,0.841,0.731,0.99023,2.93E-05,0.000437054,8,164,172
Singapore,80,0.997,0.997,0.99975,0.001455956,0.004356458,944,30100,31044
Slovakia,74,0.993,0.992,0.99982,0.003130661,0.006636414,626,26096,26722
Slovenia,78,0.997,0.996,0.99985,0.00236032,0.007851574,1495,55233,56728
Solomon Islands,67,0.945,0.928,0.99806,0.000123967,0.001349174,28,442,470
South Africa,51,0.944,0.931,0.99002,0.000721366,0.003820451,437,10920,11357
Spain,81,0.996,0.996,0.99976,0.003082917,0.007494042,2152,118426,120578
Sri Lanka,72,0.989,0.987,0.9992,0.000545582,0.001730255,51,360,411
Sudan,60,0.938,0.911,0.99581,0.000293924,0.000884557,29,462,491
Suriname,68,0.971,0.961,0.99905,0.00041978,0.001512088,209,7326,7535
Swaziland,42,0.888,0.836,0.98916,0.000150794,0.006021164,146,2256,2402
Sweden,81,0.997,0.996,0.99995,0.003215466,0.010685724,3727,255696,259423
Switzerland,82,0.996,0.995,0.99995,0.003864789,0.010617438,5694,258248,263942
Syrian Arab Republic,72,0.988,0.987,0.9996,0.000532873,0.001406018,61,1581,1642
Tajikistan,64,0.944,0.932,0.99702,0.001998042,0.004994729,18,100,118
Thailand,72,0.993,0.992,0.99803,0.000353619,0.002718571,98,2079,2177
The former Yugoslav Republic of Macedonia,73,0.985,0.983,0.99967,0.002547642,0.004338409,224,11060,11284
Timor-Leste,66,0.953,0.945,0.99211,7.09E-05,0.001611311,45,1053,1098
Togo,57,0.931,0.893,0.99213,3.51E-05,0.000302184,18,205,223
Tonga,71,0.98,0.976,0.99966,0.0003,0.0035,104,1896,2000
Trinidad and Tobago,69,0.967,0.962,0.9999,0.000756024,0.002750753,513,3575,4088
Tunisia,72,0.981,0.977,0.99972,0.001304944,0.002793637,158,4620,4778
Turkey,73,0.976,0.974,0.99968,0.001569411,0.002944793,383,18632,19015
Turkmenistan,63,0.955,0.949,0.99922,0.002492345,0.004700143,156,4888,5044
Tuvalu,65,0.969,0.962,0.99496,0.001,0.005,212,8786,8998
Uganda,50,0.922,0.866,0.99439,7.39E-05,0.000634436,22,78,100
Ukraine,67,0.98,0.976,0.99886,0.00308714,0.008343407,128,4624,4752
United Arab Emirates,78,0.992,0.992,0.99976,0.001167608,0.002434087,833,45969,46802
United Kingdom,79,0.995,0.994,0.99988,0.002208504,0.01224106,3064,240120,243184
United Republic of Tanzania,50,0.926,0.882,0.99541,2.08E-05,0.000336856,17,225,242
United States of America,78,0.993,0.992,0.99997,0.002413151,0.008815197,6350,231822,238172
Uruguay,75,0.987,0.985,0.99969,0.003717802,0.000864605,404,15824,16228
Uzbekistan,68,0.962,0.956,0.99855,0.002615322,0.010754309,26,444,470
Vanuatu,69,0.97,0.964,0.99935,0.000135747,0.001628959,67,1056,1123
Venezuela (Bolivarian Republic of),74,0.982,0.979,0.99948,0.00176529,0.001029752,247,10528,10775
Viet Nam,72,0.985,0.983,0.99775,0.000521541,0.000717003,37,270,307
Yemen,61,0.925,0.9,0.99868,0.000310096,0.000632523,39,448,487
Zambia,43,0.898,0.818,0.99432,0.000108071,0.00188184,36,595,631
Zimbabwe,43,0.945,0.915,0.99403,0.000157696,0.000707363,21,324,345
