County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misd,DWI Misd,Property Misd,Other Misd
Wayne,2001,2221,501,43,97,86,275,1720,87,319,459,855
Wayne,2002,2311,561,38,91,100,332,1750,103,314,485,848
Wayne,2003,2259,612,63,126,95,328,1647,91,357,415,784
Wayne,2004,2260,627,79,115,80,353,1633,82,372,377,802
Wayne,2005,1937,510,45,113,78,274,1427,102,265,349,711
Wayne,2006,2027,612,116,113,55,328,1415,126,288,344,657
Wayne,2007,1905,491,92,101,68,230,1414,90,307,328,689
Wayne,2008,2062,587,75,113,98,301,1475,97,309,370,699
Wayne,2009,2038,586,93,123,77,293,1452,89,322,369,672
Wayne,2010,1901,523,59,124,82,258,1378,97,271,342,668
Wayne,2011,1849,553,50,131,93,279,1296,97,273,366,560
Wayne,2012,1699,500,62,94,63,281,1199,67,198,396,538
Wayne,2013,1751,514,36,112,72,294,1237,71,246,403,517
Wayne,2014,1660,473,34,93,69,277,1187,71,286,387,443
Wayne,2015,1603,504,69,95,68,272,1099,84,232,332,451
Wayne,2016,1547,415,43,65,50,257,1132,97,239,359,437
Wayne,2017,1624,495,43,106,68,278,1129,118,223,304,484
Westchester,1970,4867,2343,508,482,15,1338,2524,1269,200,427,628
Westchester,1971,6228,2829,594,679,22,1534,3399,998,377,1107,917
Westchester,1972,7508,2636,445,681,24,1486,4872,1087,607,1675,1503
Westchester,1973,7957,2760,458,722,41,1539,5197,991,922,1754,1530
Westchester,1974,9399,3065,583,822,61,1599,6334,1038,1195,2375,1726
Westchester,1975,9561,3095,426,794,69,1806,6466,922,1168,2549,1827
Westchester,1976,9847,3252,469,765,65,1953,6595,984,982,2859,1770
Westchester,1977,9786,3089,315,807,82,1885,6697,760,1152,2884,1901
Westchester,1978,9963,3168,178,909,88,1993,6795,476,1390,2999,1930
Westchester,1979,11028,3469,215,893,97,2264,7559,585,1459,3422,2093
Westchester,1980,12135,3983,215,1150,86,2532,8152,845,1656,3546,2105
Westchester,1981,13414,4386,298,1343,103,2642,9028,954,1900,3900,2274
Westchester,1982,13866,4299,324,1593,111,2271,9567,1045,2422,3774,2326
Westchester,1983,13605,4065,314,1404,137,2210,9540,1025,2661,3390,2464
Westchester,1984,14366,3947,387,1374,130,2056,10419,1418,3111,3421,2469
Westchester,1985,15009,4271,463,1315,120,2373,10738,1560,3149,3649,2380
Westchester,1986,15510,4443,741,1337,140,2225,11067,1924,2732,3739,2672
Westchester,1987,17039,4685,1276,1316,162,1931,12354,2458,2456,4764,2676
Westchester,1988,19013,5249,1235,1505,181,2328,13764,2816,2642,5268,3038
Westchester,1989,20360,6137,2121,1420,169,2427,14223,2565,2912,5436,3310
Westchester,1990,19614,6023,1729,1634,232,2428,13591,2064,2953,5229,3345
Westchester,1991,18493,5926,1698,1634,208,2386,12567,1743,2631,4754,3439
Westchester,1992,16925,5205,1247,1577,188,2193,11720,1743,2338,4437,3202
Westchester,1993,15510,4691,1066,1348,202,2075,10819,1564,2244,3836,3175
Westchester,1994,14953,4530,896,1444,168,2022,10423,1498,2060,3809,3056
Westchester,1995,15292,4645,857,1413,209,2166,10647,1306,1937,4051,3353
Westchester,1996,15693,4687,671,1500,178,2338,11006,1491,1942,4086,3487
Westchester,1997,16240,4923,778,1419,175,2551,11317,1686,2006,4016,3609
Westchester,1998,15795,4735,685,1362,206,2482,11060,1657,1999,3773,3631
Westchester,1999,15820,4845,858,1411,164,2412,10975,1603,1874,3858,3640
Westchester,2000,16341,4954,770,1521,197,2466,11387,1437,2133,3750,4067
Westchester,2001,16093,5093,796,1659,177,2461,11000,1560,1999,3482,3959
Westchester,2002,16108,5302,893,1604,188,2617,10806,1566,2151,3212,3877
Westchester,2003,16675,5313,1045,1688,143,2437,11362,1809,2199,3230,4124
Westchester,2004,17650,5592,1216,1664,187,2525,12058,2106,2128,3585,4239
Westchester,2005,18644,5917,1231,1711,225,2750,12727,2343,2321,3522,4541
Westchester,2006,18785,6072,1359,1772,265,2676,12713,2357,2296,3674,4386
Westchester,2007,18929,5642,1286,1464,214,2678,13287,2470,2473,3663,4681
Westchester,2008,18626,5631,1119,1491,230,2791,12995,2321,2489,3537,4648
Westchester,2009,17963,5338,1045,1564,241,2488,12625,2303,2302,3662,4358
Westchester,2010,17219,5300,1185,1405,294,2416,11919,2174,2031,3393,4321
Westchester,2011,17314,5383,1219,1489,278,2397,11931,2382,1695,3516,4338
Westchester,2012,17001,5104,1278,1403,234,2189,11897,2676,1734,3335,4152
Westchester,2013,16629,4924,1250,1251,232,2191,11705,2924,1675,3061,4045
Westchester,2014,15192,4730,1110,1132,252,2236,10462,2156,1681,2755,3870
Westchester,2015,13927,4243,757,1120,220,2146,9684,1841,1473,2684,3686
Westchester,2016,13758,4341,782,1115,224,2220,9417,1685,1731,2552,3449
Westchester,2017,13301,3964,613,1057,226,2068,9337,1769,1539,2422,3607
Wyoming,1970,104,36,11,8,0,17,68,11,16,17,24
Wyoming,1971,165,35,3,8,2,22,130,10,21,42,57
Wyoming,1972,368,109,3,44,4,58,259,55,72,50,82
Wyoming,1973,391,74,20,26,0,28,317,28,115,70,104
Wyoming,1974,393,78,4,22,4,48,315,41,89,58,127
Wyoming,1975,420,90,12,26,1,51,330,27,95,72,136
Wyoming,1976,411,88,24,18,1,45,323,19,67,93,144
Wyoming,1977,411,85,5,19,5,56,326,12,64,110,140
Wyoming,1978,368,70,5,12,3,50,298,5,55,91,147
Wyoming,1979,421,100,9,18,3,70,321,12,61,92,156
Wyoming,1980,495,107,4,22,6,75,388,8,108,105,167
Wyoming,1981,567,108,5,23,4,76,459,6,104,146,203
Wyoming,1982,560,113,7,23,9,74,447,7,125,130,185
Wyoming,1983,569,90,6,13,6,65,479,8,150,136,185
Wyoming,1984,621,126,5,29,11,81,495,21,178,115,181
Wyoming,1985,650,129,3,23,22,81,521,8,185,148,180
Wyoming,1986,618,120,3,34,16,67,498,8,204,115,171
Wyoming,1987,639,130,0,26,17,87,509,17,214,120,158
Wyoming,1988,785,129,8,30,25,66,656,10,236,167,243
Wyoming,1989,792,159,8,31,35,85,633,9,210,154,260
Wyoming,1990,912,208,18,50,33,107,704,10,240,171,283
Wyoming,1991,910,197,8,56,32,101,713,7,234,205,267
Wyoming,1992,820,213,19,50,40,104,607,13,217,162,215
Wyoming,1993,781,215,3,47,43,122,566,8,158,143,257
Wyoming,1994,813,174,6,45,38,85,639,6,195,146,292
Wyoming,1995,846,173,7,40,39,87,673,22,239,144,268
Wyoming,1996,836,163,18,38,19,88,673,34,186,155,298
Wyoming,1997,852,168,17,35,35,81,684,14,221,144,305
Wyoming,1998,896,174,13,52,31,78,722,27,262,128,305
Wyoming,1999,737,185,19,46,32,88,552,18,151,108,275
Wyoming,2000,868,219,7,67,38,107,649,11,195,142,301
Wyoming,2001,730,193,21,29,32,111,537,13,163,103,258
Wyoming,2002,813,257,26,34,34,163,556,13,197,94,252
Wyoming,2003,764,202,24,40,20,118,562,13,159,141,249
Wyoming,2004,707,198,19,24,32,123,509,29,172,95,213
Wyoming,2005,710,203,15,38,28,122,507,25,150,79,253
Wyoming,2006,791,221,35,44,32,110,570,29,175,116,250
Wyoming,2007,740,228,41,40,37,110,512,18,139,82,273
Wyoming,2008,814,256,42,47,34,133,558,19,162,100,277
Wyoming,2009,718,192,20,39,33,100,526,22,181,99,224
Wyoming,2010,745,262,59,32,40,131,483,36,138,80,229
Wyoming,2011,781,263,36,49,33,145,518,41,128,95,254
Wyoming,2012,837,279,49,42,40,148,558,39,147,123,249
Wyoming,2013,827,243,42,33,38,130,584,64,135,120,265
Wyoming,2014,738,244,32,41,28,143,494,49,128,107,210
Wyoming,2015,683,224,42,37,27,118,459,50,114,85,210
Wyoming,2016,665,261,60,55,19,127,404,44,90,86,184
Wyoming,2017,804,270,43,54,39,134,534,71,178,86,199
Yates,1970,37,16,1,6,1,8,21,3,5,6,7
Yates,1971,75,18,7,2,0,9,57,7,8,12,30
Yates,1972,88,20,6,4,1,9,68,1,14,17,36
Yates,1973,272,50,11,4,1,34,222,23,57,57,85
Yates,1974,396,80,13,14,14,39,316,33,44,92,147
Yates,1975,340,99,4,16,14,65,241,20,25,85,111
Yates,1976,275,53,7,8,10,28,222,22,46,65,89
Yates,1977,247,54,3,13,3,35,193,14,29,75,75
Yates,1978,280,66,1,10,7,48,214,1,52,71,90
Yates,1979,274,63,0,5,11,47,211,1,63,65,82
Yates,1980,361,64,2,7,13,42,297,4,86,101,106
Yates,1981,340,65,0,14,16,35,275,8,84,99,84
Yates,1982,276,69,1,17,15,36,207,5,59,68,75
Yates,1983,262,66,2,16,14,34,196,3,68,65,60
Yates,1984,210,36,1,9,5,21,174,1,56,50,67
Yates,1985,274,56,4,8,15,29,218,3,65,76,74
Yates,1986,282,82,6,26,9,41,200,12,56,42,90
Yates,1987,277,66,1,21,9,35,211,0,52,65,94
Yates,1988,364,91,1,28,10,52,273,3,58,67,145
Yates,1989,300,77,8,14,13,42,223,6,52,48,117
Yates,1990,452,105,8,28,22,47,347,9,97,80,161
Yates,1991,467,100,11,21,15,53,367,4,96,95,172
Yates,1992,424,108,6,25,18,59,316,8,72,88,148
Yates,1993,433,79,1,16,21,41,354,1,93,77,183
Yates,1994,426,88,5,11,25,47,338,4,96,87,151
Yates,1995,471,97,6,17,23,51,374,5,100,83,186
Yates,1996,555,96,1,16,22,57,459,3,97,109,250
Yates,1997,435,85,4,13,20,48,350,13,73,82,182
Yates,1998,426,109,9,15,24,61,317,1,68,88,160
Yates,1999,421,96,1,25,15,55,325,3,61,85,176
Yates,2000,392,112,5,21,18,68,280,3,55,68,154
Yates,2001,470,112,2,10,12,88,358,5,80,83,190
Yates,2002,415,115,15,31,16,53,300,12,62,76,150
Yates,2003,441,98,7,14,17,60,343,4,87,63,189
Yates,2004,450,119,11,22,17,69,331,5,71,61,194
Yates,2005,432,88,7,13,18,50,344,3,88,75,178
Yates,2006,424,109,3,24,20,62,315,14,64,71,166
Yates,2007,416,102,8,13,12,69,314,12,72,72,158
Yates,2008,377,121,14,18,21,68,256,17,44,43,152
Yates,2009,421,105,13,11,25,56,316,14,88,68,146
Yates,2010,441,119,8,24,18,69,322,15,73,80,154
Yates,2011,462,132,27,22,17,66,330,12,74,72,172
Yates,2012,448,125,14,14,20,77,323,14,92,67,150
Yates,2013,442,113,13,12,15,73,329,24,73,69,163
Yates,2014,391,96,11,12,17,56,295,21,88,60,126
Yates,2015,369,102,19,9,19,55,267,23,62,75,107
Yates,2016,340,105,38,13,11,43,235,20,56,52,107
Yates,2017,294,84,20,7,9,48,210,32,60,35,83
Unknown-NonNYS,1970,144,134,28,34,0,72,10,4,0,2,4
Unknown-NonNYS,1971,154,137,26,39,1,71,17,3,0,5,9
Unknown-NonNYS,1972,178,159,21,42,0,96,19,1,0,4,14
Unknown-NonNYS,1973,195,180,27,65,0,88,15,3,0,4,8
Unknown-NonNYS,1974,197,183,34,50,1,98,14,2,1,7,4
Unknown-NonNYS,1975,197,182,22,62,1,97,15,0,3,6,6
Unknown-NonNYS,1976,201,188,20,59,0,109,13,2,3,4,4
Unknown-NonNYS,1977,226,208,24,78,2,104,18,3,0,10,5
Unknown-NonNYS,1978,187,174,17,58,1,98,13,0,0,9,4
Unknown-NonNYS,1979,206,195,10,70,2,113,11,1,1,4,5
Unknown-NonNYS,1980,186,170,11,70,0,89,16,1,0,7,8
Unknown-NonNYS,1981,187,177,16,54,0,107,10,1,3,6,0
Unknown-NonNYS,1982,151,146,6,46,1,93,5,0,1,2,2
Unknown-NonNYS,1983,168,164,10,64,2,88,4,0,1,1,2
Unknown-NonNYS,1984,186,176,11,62,2,101,10,0,1,2,7
Unknown-NonNYS,1985,162,153,10,57,0,86,9,1,2,2,4
Unknown-NonNYS,1986,178,167,12,54,2,99,11,0,2,4,5
Unknown-NonNYS,1987,256,233,28,59,4,142,23,2,5,6,10
Unknown-NonNYS,1988,211,195,26,66,1,102,16,0,3,5,8
Unknown-NonNYS,1989,269,240,47,75,1,117,29,6,1,8,14
Unknown-NonNYS,1990,191,173,33,49,0,91,18,0,8,5,5
Unknown-NonNYS,1991,191,183,42,51,2,88,8,1,0,0,7
Unknown-NonNYS,1992,118,113,30,31,1,51,5,0,1,2,2
Unknown-NonNYS,1993,112,104,20,43,0,41,8,0,1,4,3
Unknown-NonNYS,1994,99,95,17,34,1,43,4,0,0,2,2
Unknown-NonNYS,1995,110,102,21,25,2,54,8,0,2,2,4
Unknown-NonNYS,1996,80,79,14,30,1,34,1,0,0,0,1
Unknown-NonNYS,1997,79,73,11,28,1,33,6,0,0,1,5
Unknown-NonNYS,1998,80,76,10,20,0,46,4,0,2,1,1
Unknown-NonNYS,1999,98,89,14,23,2,50,9,1,1,3,4
Unknown-NonNYS,2000,82,70,11,22,1,36,12,0,2,2,8
Unknown-NonNYS,2001,82,66,11,24,0,31,16,1,6,3,6
Unknown-NonNYS,2002,74,59,9,24,1,25,15,0,2,5,8
Unknown-NonNYS,2003,79,68,7,23,1,37,11,0,2,1,8
Unknown-NonNYS,2004,63,51,9,14,2,26,12,0,0,1,11
Unknown-NonNYS,2005,77,64,6,23,1,34,13,6,0,2,5
Unknown-NonNYS,2006,108,71,9,21,4,37,37,10,3,5,19
Unknown-NonNYS,2007,104,68,11,19,1,37,36,1,3,16,16
Unknown-NonNYS,2008,106,65,5,28,3,29,41,1,8,8,24
Unknown-NonNYS,2009,115,62,7,20,0,35,53,3,6,15,29
Unknown-NonNYS,2010,153,105,15,36,1,53,48,3,8,12,25
Unknown-NonNYS,2011,131,98,16,26,1,55,33,3,6,10,14
Unknown-NonNYS,2012,110,82,17,29,0,36,28,1,4,13,10
Unknown-NonNYS,2013,126,96,12,30,1,53,30,3,4,7,16
Unknown-NonNYS,2014,112,74,15,20,0,39,38,4,4,12,18
Unknown-NonNYS,2015,106,79,12,21,0,46,27,3,6,8,10
Unknown-NonNYS,2016,108,80,17,28,2,33,28,3,3,14,8
Unknown-NonNYS,2017,94,75,9,19,1,46,19,3,1,6,9
Unknown NYC county,1970,781,455,142,161,0,152,326,207,7,41,71
Unknown NYC county,1971,1561,886,175,322,0,389,675,254,14,148,259
Unknown NYC county,1972,222,141,20,53,0,68,81,18,4,27,32
Unknown NYC county,1973,413,253,29,101,0,123,160,22,14,49,75
Unknown NYC county,1974,239,147,24,43,0,80,92,11,8,34,39
Unknown NYC county,1975,351,216,26,84,0,106,135,21,2,55,57
Unknown NYC county,1976,520,287,45,106,0,136,233,41,3,92,97
Unknown NYC county,1977,844,319,42,105,0,172,525,80,7,227,211
Unknown NYC county,1978,549,261,20,91,0,150,288,42,6,111,129
Unknown NYC county,1979,1004,552,66,201,0,285,452,59,6,175,212
Unknown NYC county,1980,3589,1719,202,642,0,875,1870,380,15,680,795
Unknown NYC county,1981,2658,1276,138,573,4,561,1382,218,11,376,777
Unknown NYC county,1982,995,503,79,224,0,200,492,107,8,166,211
Unknown NYC county,1983,165,98,6,44,0,48,67,10,5,17,35
Unknown NYC county,1984,94,61,4,26,0,31,33,2,3,8,20
Unknown NYC county,1985,123,74,9,33,0,32,49,5,3,13,28
Unknown NYC county,1986,144,82,6,26,0,50,62,8,6,20,28
Unknown NYC county,1987,110,71,12,28,0,31,39,4,1,8,26
Unknown NYC county,1988,101,55,7,18,0,30,46,4,5,11,26
Unknown NYC county,1989,115,72,15,21,0,36,43,4,2,12,25
Unknown NYC county,1990,35,29,5,10,0,14,6,0,0,1,5
Unknown NYC county,1991,13,7,1,2,0,4,6,0,0,3,3
Unknown NYC county,1992,31,23,2,11,0,10,8,0,0,3,5
Unknown NYC county,1993,28,23,4,3,0,16,5,0,0,1,4
Unknown NYC county,1994,45,41,4,16,0,21,4,0,0,2,2
Unknown NYC county,1995,23,17,5,9,0,3,6,0,0,0,6
Unknown NYC county,1996,46,29,4,13,0,12,17,0,1,4,12
Unknown NYC county,1997,40,26,4,7,0,15,14,0,0,0,14
Unknown NYC county,1998,39,24,3,4,0,17,15,1,0,3,11
Unknown NYC county,2001,1,0,0,0,0,0,1,0,0,1,0
Unknown NYC county,2004,1,0,0,0,0,0,1,0,0,1,0
