Epoch,gpu_mem,GIoU,obj,cls,total,targets,img_size,P,R,mAP@0.5,F1,Val GIoU,Val objectness,Val classification,model,n_images
17/299,10.4G,1.89,3.08,0.492,5.46,128,448,0.525,0.945,0.839,0.673,1.48,1.78,0.189,YOLO v3,1000
18/299,10.4G,1.84,2.95,0.47,5.26,155,608,0.596,0.937,0.873,0.728,1.45,1.68,0.196,YOLO v3,1000
19/299,10.4G,1.83,2.78,0.429,5.04,140,576,0.575,0.929,0.854,0.703,1.41,1.67,0.294,YOLO v3,1000
20/299,10.4G,1.81,2.68,0.409,4.91,152,608,0.644,0.93,0.882,0.76,1.39,1.61,0.225,YOLO v3,1000
21/299,10.4G,1.87,3.19,0.685,5.74,160,384,0.492,0.936,0.818,0.642,1.43,1.86,0.184,YOLO v3,1000
22/299,10.4G,1.81,2.9,0.446,5.16,166,480,0.595,0.946,0.885,0.729,1.4,1.61,0.157,YOLO v3,1000
23/299,10.4G,1.74,2.75,0.389,4.88,133,416,0.578,0.91,0.838,0.697,1.45,1.72,0.317,YOLO v3,1000
24/299,10.4G,1.76,2.62,0.369,4.75,166,576,0.521,0.963,0.865,0.675,1.38,1.65,0.183,YOLO v3,1000
25/299,10.4G,1.74,2.57,0.365,4.67,143,384,0.552,0.961,0.884,0.699,1.3,1.58,0.125,YOLO v3,1000
26/299,10.4G,1.71,2.56,0.329,4.61,136,544,0.552,0.974,0.893,0.703,1.27,1.56,0.0975,YOLO v3,1000
27/299,10.4G,1.7,2.72,0.323,4.75,148,640,0.577,0.961,0.883,0.72,1.28,1.52,0.0936,YOLO v3,1000
28/299,10.4G,1.69,2.66,0.338,4.68,126,352,0.542,0.968,0.878,0.692,1.33,1.59,0.188,YOLO v3,1000
29/299,10.4G,1.67,2.66,0.35,4.67,136,352,0.575,0.965,0.895,0.719,1.28,1.48,0.216,YOLO v3,1000
30/299,10.4G,1.69,2.82,0.367,4.87,165,480,0.6,0.924,0.861,0.718,1.3,1.59,0.251,YOLO v3,1000
31/299,10.4G,1.67,2.73,0.331,4.73,182,640,0.602,0.964,0.898,0.74,1.27,1.53,0.072,YOLO v3,1000
32/299,10.4G,1.62,2.47,0.275,4.37,134,320,0.631,0.95,0.898,0.756,1.24,1.47,0.264,YOLO v3,1000
33/299,10.4G,1.62,2.4,0.269,4.29,145,480,0.694,0.957,0.921,0.802,1.31,1.4,0.103,YOLO v3,1000
34/299,10.4G,1.58,2.36,0.3,4.24,157,512,0.671,0.968,0.927,0.791,1.23,1.37,0.101,YOLO v3,1000
35/299,10.4G,1.62,2.45,0.303,4.38,145,640,0.596,0.963,0.903,0.733,1.25,1.49,0.137,YOLO v3,1000
36/299,10.4G,1.58,2.3,0.273,4.15,159,576,0.636,0.972,0.916,0.765,1.16,1.37,0.129,YOLO v3,1000
37/299,10.4G,1.56,2.53,0.264,4.36,180,512,0.597,0.96,0.903,0.734,1.25,1.46,0.125,YOLO v3,1000
38/299,10.4G,1.53,2.17,0.244,3.94,145,512,0.599,0.979,0.916,0.74,1.18,1.41,0.086,YOLO v3,1000
39/299,10.4G,1.56,2.59,0.243,4.39,140,416,0.642,0.93,0.878,0.755,1.27,1.52,0.222,YOLO v3,1000
40/299,10.4G,1.54,2.33,0.271,4.14,168,544,0.621,0.969,0.909,0.754,1.21,1.44,0.122,YOLO v3,1000
41/299,10.4G,1.5,2.29,0.248,4.04,154,320,0.641,0.975,0.92,0.773,1.19,1.37,0.0795,YOLO v3,1000
42/299,10.4G,1.51,2.2,0.226,3.94,162,640,0.632,0.979,0.934,0.767,1.16,1.34,0.0945,YOLO v3,1000
43/299,10.4G,1.52,2.19,0.245,3.95,146,544,0.634,0.968,0.922,0.763,1.12,1.33,0.173,YOLO v3,1000
44/299,10.4G,1.51,2.29,0.28,4.08,113,480,0.668,0.963,0.92,0.788,1.16,1.31,0.249,YOLO v3,1000
45/299,10.4G,1.52,2.4,0.259,4.18,135,608,0.645,0.977,0.934,0.777,1.16,1.33,0.0728,YOLO v3,1000
46/299,10.4G,1.47,2.39,0.236,4.09,142,512,0.693,0.958,0.925,0.803,1.17,1.33,0.0786,YOLO v3,1000
47/299,10.4G,1.49,2.27,0.24,4,167,320,0.644,0.967,0.919,0.771,1.14,1.35,0.177,YOLO v3,1000
48/299,10.4G,1.47,2.38,0.251,4.1,163,416,0.651,0.963,0.918,0.774,1.15,1.34,0.213,YOLO v3,1000
49/299,10.4G,1.49,2.32,0.255,4.07,143,576,0.641,0.976,0.923,0.774,1.15,1.35,0.0662,YOLO v3,1000
50/299,10.4G,1.44,2.02,0.224,3.67,167,576,0.64,0.982,0.938,0.773,1.08,1.3,0.059,YOLO v3,1000
51/299,10.4G,1.47,2.33,0.259,4.07,124,576,0.669,0.969,0.925,0.79,1.11,1.35,0.0767,YOLO v3,1000
52/299,10.4G,1.46,2.14,0.226,3.82,164,544,0.594,0.976,0.921,0.736,1.09,1.34,0.114,YOLO v3,1000
53/299,10.4G,1.45,2.27,0.22,3.93,122,640,0.677,0.973,0.933,0.798,1.15,1.31,0.0488,YOLO v3,1000
54/299,10.4G,1.45,2.33,0.21,3.98,145,480,0.69,0.976,0.938,0.808,1.11,1.29,0.0652,YOLO v3,1000
55/299,10.4G,1.44,2.12,0.234,3.79,124,640,0.623,0.975,0.917,0.758,1.1,1.38,0.0873,YOLO v3,1000
56/299,10.4G,1.48,2.25,0.373,4.1,170,640,0.614,0.977,0.924,0.752,1.13,1.35,0.0698,YOLO v3,1000
57/299,10.4G,1.47,1.99,0.274,3.74,130,416,0.69,0.975,0.941,0.808,1.12,1.24,0.0696,YOLO v3,1000
58/299,10.4G,1.44,2.25,0.225,3.91,180,448,0.641,0.98,0.927,0.773,1.08,1.29,0.0621,YOLO v3,1000
59/299,10.4G,1.45,2.23,0.222,3.9,151,608,0.653,0.973,0.933,0.78,1.09,1.29,0.133,YOLO v3,1000
60/299,10.4G,1.42,2.14,0.236,3.8,171,352,0.698,0.982,0.95,0.815,1.05,1.2,0.116,YOLO v3,1000
61/299,10.4G,1.42,2.17,0.337,3.93,161,512,0.626,0.974,0.928,0.761,1.1,1.35,0.0835,YOLO v3,1000
62/299,10.4G,1.43,2.14,0.259,3.83,176,640,0.723,0.977,0.954,0.831,1.05,1.19,0.0616,YOLO v3,1000
63/299,10.4G,1.43,2.14,0.232,3.8,138,384,0.642,0.978,0.935,0.773,1.07,1.29,0.156,YOLO v3,1000
64/299,10.4G,1.39,2.09,0.21,3.69,156,640,0.677,0.975,0.944,0.796,1.05,1.24,0.128,YOLO v3,1000
65/299,10.4G,1.38,2.13,0.21,3.73,152,512,0.703,0.976,0.948,0.816,1.02,1.19,0.122,YOLO v3,1000
66/299,10.4G,1.37,2.08,0.216,3.67,113,384,0.734,0.985,0.959,0.841,1.04,1.17,0.0387,YOLO v3,1000
67/299,10.4G,1.39,2.15,0.216,3.75,99,352,0.669,0.979,0.94,0.793,1.07,1.25,0.0713,YOLO v3,1000
68/299,10.4G,1.37,2.12,0.242,3.74,136,416,0.663,0.977,0.934,0.789,1.09,1.33,0.0571,YOLO v3,1000
69/299,10.4G,1.39,2.32,0.211,3.92,133,448,0.664,0.984,0.942,0.793,1.05,1.24,0.0437,YOLO v3,1000
70/299,10.4G,1.37,1.97,0.188,3.52,172,384,0.68,0.981,0.946,0.802,1.01,1.17,0.0519,YOLO v3,1000
71/299,10.4G,1.37,2.1,0.222,3.69,146,512,0.75,0.973,0.951,0.847,1.03,1.17,0.0431,YOLO v3,1000
72/299,10.4G,1.35,2.02,0.163,3.54,203,384,0.714,0.983,0.953,0.826,1.02,1.15,0.0429,YOLO v3,1000
73/299,10.4G,1.35,2.16,0.217,3.73,162,448,0.667,0.977,0.94,0.79,1.03,1.21,0.0847,YOLO v3,1000
74/299,10.4G,1.37,2.3,0.187,3.85,144,480,0.699,0.987,0.952,0.818,1.02,1.17,0.0335,YOLO v3,1000
75/299,10.4G,1.33,2.08,0.182,3.59,159,640,0.706,0.983,0.954,0.821,1.03,1.16,0.0395,YOLO v3,1000
76/299,10.4G,1.33,2.05,0.177,3.56,147,320,0.717,0.984,0.956,0.829,0.987,1.13,0.0342,YOLO v3,1000
77/299,10.4G,1.32,1.95,0.176,3.44,142,544,0.729,0.976,0.953,0.833,1.02,1.14,0.137,YOLO v3,1000
78/299,10.4G,1.31,2.01,0.169,3.5,149,320,0.691,0.99,0.961,0.814,0.976,1.12,0.0474,YOLO v3,1000
79/299,10.4G,1.31,1.88,0.201,3.39,191,384,0.752,0.979,0.962,0.85,0.985,1.09,0.0605,YOLO v3,1000
80/299,10.4G,1.31,2.11,0.158,3.58,137,448,0.712,0.988,0.958,0.827,0.963,1.1,0.0405,YOLO v3,1000
81/299,10.4G,1.28,1.93,0.159,3.37,126,320,0.735,0.988,0.962,0.843,0.94,1.08,0.0758,YOLO v3,1000
82/299,10.4G,1.29,2.03,0.167,3.49,172,448,0.688,0.991,0.954,0.812,0.964,1.14,0.0353,YOLO v3,1000
83/299,10.4G,1.28,1.92,0.129,3.33,163,608,0.723,0.986,0.96,0.834,0.941,1.08,0.0427,YOLO v3,1000
84/299,10.4G,1.28,2.02,0.191,3.5,126,384,0.695,0.984,0.954,0.814,0.971,1.11,0.0419,YOLO v3,1000
85/299,10.4G,1.26,1.85,0.153,3.26,132,512,0.704,0.987,0.959,0.821,0.945,1.09,0.0347,YOLO v3,1000
86/299,10.4G,1.27,1.95,0.158,3.38,120,544,0.703,0.987,0.953,0.821,0.943,1.12,0.0433,YOLO v3,1000
87/299,10.4G,1.26,2.02,0.173,3.45,195,384,0.765,0.984,0.964,0.861,0.937,1.07,0.0338,YOLO v3,1000
88/299,10.4G,1.26,1.97,0.135,3.37,142,352,0.709,0.988,0.96,0.825,0.937,1.09,0.0342,YOLO v3,1000
89/299,10.4G,1.23,1.97,0.148,3.35,153,352,0.737,0.98,0.956,0.841,0.957,1.09,0.0289,YOLO v3,1000
90/299,10.4G,1.26,1.94,0.162,3.36,154,608,0.718,0.985,0.959,0.83,0.937,1.09,0.0277,YOLO v3,1000
91/299,10.4G,1.27,2.08,0.165,3.51,169,512,0.723,0.981,0.956,0.832,0.96,1.09,0.0469,YOLO v3,1000
92/299,10.4G,1.24,1.95,0.162,3.35,166,512,0.757,0.982,0.959,0.855,0.945,1.07,0.05,YOLO v3,1000
93/299,10.4G,1.24,1.88,0.138,3.26,194,448,0.762,0.987,0.967,0.859,0.911,1.03,0.0306,YOLO v3,1000
94/299,10.4G,1.23,1.92,0.14,3.29,159,352,0.792,0.985,0.968,0.877,0.926,1.01,0.0365,YOLO v3,1000
95/299,10.4G,1.19,1.88,0.126,3.2,130,448,0.731,0.986,0.962,0.839,0.906,1.04,0.0267,YOLO v3,1000
96/299,10.4G,1.2,1.84,0.113,3.15,160,608,0.735,0.988,0.961,0.843,0.91,1.03,0.0346,YOLO v3,1000
97/299,10.4G,1.2,1.93,0.123,3.26,159,384,0.748,0.988,0.965,0.851,0.911,1.02,0.0284,YOLO v3,1000
98/299,10.4G,1.21,1.9,0.167,3.28,164,544,0.733,0.987,0.964,0.841,0.916,1.04,0.0335,YOLO v3,1000
99/299,10.4G,1.23,1.78,0.158,3.17,162,480,0.736,0.991,0.967,0.844,0.89,1.01,0.0421,YOLO v3,1000
100/299,10.4G,1.22,1.88,0.14,3.24,164,448,0.75,0.987,0.966,0.851,0.889,1.04,0.0297,YOLO v3,1000
101/299,10.4G,1.19,1.9,0.133,3.22,157,384,0.757,0.986,0.968,0.856,0.895,1.01,0.0465,YOLO v3,1000
102/299,10.4G,1.2,1.94,0.121,3.26,173,448,0.767,0.986,0.969,0.863,0.884,0.999,0.0363,YOLO v3,1000
103/299,10.4G,1.19,1.94,0.158,3.29,108,320,0.723,0.989,0.963,0.834,0.888,1.04,0.0366,YOLO v3,1000
104/299,10.4G,1.21,1.9,0.148,3.26,152,608,0.76,0.987,0.967,0.858,0.899,1.02,0.0284,YOLO v3,1000
105/299,10.4G,1.19,1.84,0.135,3.16,121,416,0.761,0.989,0.969,0.86,0.861,0.996,0.0365,YOLO v3,1000
106/299,10.4G,1.15,1.84,0.131,3.13,148,608,0.756,0.983,0.966,0.854,0.875,1,0.0303,YOLO v3,1000
107/299,10.4G,1.16,1.75,0.129,3.04,146,384,0.759,0.987,0.968,0.857,0.859,1,0.0234,YOLO v3,1000
108/299,10.4G,1.16,1.83,0.121,3.11,142,384,0.734,0.992,0.967,0.843,0.859,0.993,0.0269,YOLO v3,1000
109/299,10.4G,1.19,1.93,0.164,3.28,131,320,0.729,0.988,0.964,0.839,0.867,1.03,0.0387,YOLO v3,1000
110/299,10.4G,1.19,1.89,0.155,3.24,117,544,0.736,0.984,0.964,0.842,0.873,1.01,0.03,YOLO v3,1000
111/299,10.4G,1.16,1.66,0.122,2.94,131,416,0.762,0.991,0.971,0.86,0.836,0.973,0.0255,YOLO v3,1000
112/299,10.4G,1.19,1.92,0.106,3.21,125,352,0.79,0.987,0.974,0.877,0.859,0.939,0.0238,YOLO v3,1000
113/299,10.4G,1.13,1.78,0.12,3.03,138,544,0.774,0.987,0.971,0.867,0.832,0.951,0.0309,YOLO v3,1000
114/299,10.4G,1.13,1.66,0.113,2.91,145,576,0.804,0.987,0.974,0.886,0.841,0.917,0.0276,YOLO v3,1000
115/299,10.4G,1.15,1.88,0.129,3.16,130,576,0.77,0.989,0.97,0.865,0.847,0.954,0.0254,YOLO v3,1000
116/299,10.4G,1.15,1.81,0.128,3.09,164,384,0.786,0.988,0.973,0.875,0.852,0.948,0.0226,YOLO v3,1000
117/299,10.4G,1.13,1.82,0.128,3.08,168,480,0.769,0.988,0.971,0.865,0.865,0.943,0.0263,YOLO v3,1000
118/299,10.4G,1.14,1.71,0.13,2.98,156,416,0.786,0.989,0.975,0.876,0.819,0.901,0.0271,YOLO v3,1000
119/299,10.4G,1.12,1.79,0.11,3.02,156,608,0.785,0.987,0.974,0.874,0.845,0.922,0.0249,YOLO v3,1000
120/299,10.4G,1.13,1.82,0.101,3.06,150,352,0.787,0.987,0.975,0.875,0.827,0.911,0.0277,YOLO v3,1000
121/299,10.4G,1.11,1.62,0.0981,2.83,175,576,0.789,0.988,0.976,0.877,0.81,0.9,0.0233,YOLO v3,1000
122/299,10.4G,1.12,1.69,0.136,2.94,165,640,0.792,0.989,0.975,0.879,0.816,0.889,0.025,YOLO v3,1000
123/299,10.4G,1.13,1.97,0.142,3.24,115,480,0.789,0.984,0.973,0.875,0.848,0.916,0.0258,YOLO v3,1000
124/299,10.4G,1.13,1.83,0.113,3.07,136,640,0.8,0.985,0.97,0.883,0.834,0.922,0.0534,YOLO v3,1000
125/299,10.4G,1.1,1.77,0.114,2.99,136,512,0.79,0.988,0.973,0.877,0.84,0.926,0.0241,YOLO v3,1000
126/299,10.4G,1.09,1.65,0.0937,2.84,119,576,0.79,0.991,0.976,0.879,0.817,0.876,0.0228,YOLO v3,1000
127/299,10.4G,1.09,1.7,0.115,2.91,133,352,0.792,0.99,0.977,0.88,0.813,0.857,0.0235,YOLO v3,1000
128/299,10.4G,1.12,1.75,0.116,2.99,122,448,0.786,0.989,0.976,0.875,0.821,0.878,0.0216,YOLO v3,1000
129/299,10.4G,1.1,1.65,0.116,2.87,134,608,0.791,0.989,0.976,0.879,0.797,0.868,0.0208,YOLO v3,1000
130/299,10.4G,1.07,1.64,0.0885,2.8,131,608,0.803,0.988,0.975,0.886,0.797,0.872,0.0264,YOLO v3,1000
131/299,10.4G,1.1,1.68,0.112,2.89,140,384,0.817,0.99,0.979,0.895,0.788,0.851,0.0233,YOLO v3,1000
132/299,10.4G,1.06,1.5,0.0966,2.66,154,576,0.802,0.988,0.978,0.885,0.764,0.855,0.0243,YOLO v3,1000
133/299,10.4G,1.08,1.56,0.106,2.75,161,448,0.807,0.989,0.979,0.888,0.747,0.838,0.0224,YOLO v3,1000
134/299,10.4G,1.05,1.73,0.106,2.88,150,352,0.813,0.988,0.976,0.892,0.765,0.851,0.0234,YOLO v3,1000
135/299,10.4G,1.06,1.6,0.108,2.77,150,640,0.799,0.99,0.977,0.884,0.769,0.85,0.0218,YOLO v3,1000
136/299,10.4G,1.06,1.63,0.0882,2.78,168,352,0.802,0.99,0.977,0.886,0.751,0.835,0.0233,YOLO v3,1000
137/299,10.4G,1.04,1.49,0.0867,2.61,125,544,0.795,0.99,0.977,0.882,0.738,0.843,0.0292,YOLO v3,1000
138/299,10.4G,1.07,1.84,0.097,3.01,137,448,0.803,0.988,0.975,0.886,0.781,0.877,0.0215,YOLO v3,1000
139/299,10.4G,1.05,1.62,0.107,2.78,137,544,0.802,0.989,0.974,0.885,0.767,0.869,0.0223,YOLO v3,1000
140/299,10.4G,1.05,1.76,0.0949,2.9,138,352,0.807,0.99,0.975,0.889,0.792,0.873,0.021,YOLO v3,1000
141/299,10.4G,1.04,1.68,0.0817,2.8,156,608,0.814,0.989,0.976,0.893,0.796,0.871,0.0209,YOLO v3,1000
142/299,10.4G,1.02,1.57,0.0962,2.69,128,480,0.821,0.989,0.979,0.897,0.766,0.839,0.0199,YOLO v3,1000
143/299,10.4G,1.06,1.76,0.0883,2.91,145,448,0.813,0.99,0.978,0.892,0.761,0.834,0.0207,YOLO v3,1000
144/299,10.4G,1.01,1.59,0.0742,2.68,144,448,0.814,0.992,0.98,0.894,0.76,0.83,0.0207,YOLO v3,1000
145/299,10.4G,1.02,1.52,0.105,2.64,149,320,0.825,0.991,0.98,0.9,0.732,0.81,0.0191,YOLO v3,1000
146/299,10.4G,1,1.62,0.0916,2.71,158,352,0.815,0.991,0.979,0.894,0.738,0.817,0.0206,YOLO v3,1000
147/299,10.4G,1.03,1.63,0.0865,2.74,126,352,0.809,0.99,0.977,0.89,0.743,0.822,0.0267,YOLO v3,1000
148/299,10.4G,0.988,1.57,0.0695,2.63,171,320,0.81,0.99,0.977,0.891,0.73,0.821,0.0197,YOLO v3,1000
149/299,10.4G,1.01,1.6,0.0874,2.7,159,448,0.814,0.988,0.977,0.892,0.739,0.833,0.0204,YOLO v3,1000
150/299,10.4G,1,1.55,0.0898,2.64,116,320,0.815,0.989,0.977,0.893,0.729,0.832,0.0294,YOLO v3,1000
151/299,10.4G,1.02,1.57,0.0924,2.68,147,512,0.818,0.988,0.977,0.895,0.731,0.828,0.0173,YOLO v3,1000
152/299,10.4G,0.993,1.59,0.0798,2.66,170,448,0.824,0.989,0.978,0.899,0.736,0.826,0.017,YOLO v3,1000
153/299,10.4G,1,1.6,0.0806,2.69,122,384,0.832,0.99,0.979,0.903,0.742,0.817,0.0177,YOLO v3,1000
154/299,10.4G,0.996,1.65,0.0956,2.74,164,416,0.828,0.99,0.979,0.901,0.75,0.827,0.0162,YOLO v3,1000
155/299,10.4G,1,1.62,0.099,2.72,139,320,0.805,0.99,0.977,0.888,0.748,0.841,0.0162,YOLO v3,1000
156/299,10.4G,1,1.68,0.088,2.77,181,384,0.822,0.988,0.978,0.897,0.773,0.833,0.0186,YOLO v3,1000
157/299,10.4G,0.982,1.49,0.0744,2.54,123,352,0.813,0.99,0.98,0.892,0.75,0.82,0.0184,YOLO v3,1000
158/299,10.4G,0.98,1.49,0.0712,2.54,177,640,0.809,0.991,0.979,0.891,0.728,0.813,0.0168,YOLO v3,1000
159/299,10.4G,0.975,1.49,0.0858,2.55,136,480,0.818,0.991,0.981,0.896,0.707,0.786,0.0185,YOLO v3,1000
160/299,10.4G,0.965,1.58,0.0768,2.62,160,352,0.815,0.989,0.98,0.893,0.717,0.791,0.0188,YOLO v3,1000
161/299,10.4G,0.94,1.55,0.0692,2.56,148,320,0.815,0.991,0.98,0.894,0.72,0.8,0.0178,YOLO v3,1000
162/299,10.4G,0.955,1.5,0.0774,2.53,137,416,0.825,0.991,0.981,0.9,0.714,0.786,0.0181,YOLO v3,1000
163/299,10.4G,0.957,1.52,0.0721,2.55,117,576,0.816,0.991,0.98,0.895,0.723,0.793,0.0192,YOLO v3,1000
164/299,10.4G,0.952,1.58,0.084,2.62,145,448,0.825,0.989,0.979,0.9,0.723,0.786,0.0204,YOLO v3,1000
165/299,10.4G,0.988,1.65,0.109,2.75,152,320,0.811,0.99,0.978,0.891,0.732,0.798,0.0455,YOLO v3,1000
166/299,10.4G,0.961,1.39,0.102,2.46,159,608,0.806,0.991,0.979,0.889,0.706,0.784,0.0232,YOLO v3,1000
167/299,10.4G,0.963,1.64,0.0724,2.67,129,352,0.813,0.992,0.979,0.893,0.713,0.782,0.0193,YOLO v3,1000
168/299,10.4G,0.931,1.5,0.064,2.5,133,640,0.824,0.991,0.98,0.9,0.712,0.778,0.0165,YOLO v3,1000
169/299,10.4G,0.958,1.55,0.101,2.61,135,576,0.834,0.99,0.981,0.905,0.71,0.767,0.015,YOLO v3,1000
170/299,10.4G,0.939,1.59,0.0713,2.6,111,384,0.83,0.99,0.98,0.903,0.713,0.774,0.0138,YOLO v3,1000
171/299,10.4G,0.96,1.54,0.0886,2.59,163,608,0.821,0.991,0.979,0.898,0.706,0.775,0.0134,YOLO v3,1000
172/299,10.4G,0.956,1.5,0.104,2.56,161,640,0.828,0.99,0.98,0.901,0.702,0.769,0.0131,YOLO v3,1000
173/299,10.4G,0.944,1.49,0.0854,2.51,168,576,0.828,0.991,0.98,0.902,0.701,0.764,0.0132,YOLO v3,1000
174/299,10.4G,0.928,1.47,0.0743,2.47,122,480,0.827,0.991,0.981,0.901,0.696,0.756,0.0133,YOLO v3,1000
175/299,10.4G,0.934,1.52,0.083,2.54,110,544,0.827,0.991,0.98,0.902,0.692,0.759,0.0139,YOLO v3,1000
176/299,10.4G,0.921,1.43,0.0755,2.43,132,512,0.826,0.991,0.98,0.901,0.681,0.754,0.0156,YOLO v3,1000
177/299,10.4G,0.905,1.43,0.0695,2.4,135,576,0.828,0.992,0.981,0.903,0.69,0.756,0.017,YOLO v3,1000
178/299,10.4G,0.902,1.33,0.0702,2.31,161,544,0.823,0.992,0.981,0.9,0.679,0.756,0.0185,YOLO v3,1000
179/299,10.4G,0.904,1.34,0.063,2.31,132,448,0.826,0.992,0.982,0.901,0.66,0.743,0.0197,YOLO v3,1000
180/299,10.4G,0.897,1.47,0.0731,2.44,167,352,0.838,0.993,0.983,0.908,0.658,0.729,0.0156,YOLO v3,1000
181/299,10.4G,0.886,1.42,0.0586,2.36,178,576,0.834,0.993,0.983,0.907,0.66,0.725,0.015,YOLO v3,1000
182/299,10.4G,0.908,1.42,0.104,2.43,178,512,0.841,0.993,0.983,0.91,0.664,0.718,0.0146,YOLO v3,1000
183/299,10.4G,0.896,1.44,0.0679,2.41,128,480,0.842,0.992,0.983,0.911,0.668,0.718,0.0129,YOLO v3,1000
184/299,10.4G,0.893,1.3,0.0676,2.26,162,512,0.843,0.992,0.984,0.911,0.661,0.712,0.013,YOLO v3,1000
185/299,10.4G,0.883,1.34,0.068,2.29,154,640,0.844,0.992,0.984,0.912,0.655,0.708,0.0133,YOLO v3,1000
186/299,10.4G,0.91,1.5,0.086,2.5,167,640,0.844,0.991,0.983,0.911,0.657,0.714,0.0128,YOLO v3,1000
187/299,10.4G,0.892,1.43,0.0731,2.4,141,416,0.851,0.991,0.984,0.916,0.656,0.71,0.0117,YOLO v3,1000
188/299,10.4G,0.891,1.43,0.0856,2.4,130,544,0.846,0.992,0.983,0.913,0.664,0.716,0.0128,YOLO v3,1000
189/299,10.4G,0.909,1.54,0.0671,2.52,136,416,0.836,0.992,0.982,0.907,0.667,0.725,0.0139,YOLO v3,1000
190/299,10.4G,0.867,1.37,0.0609,2.29,145,320,0.838,0.992,0.982,0.908,0.658,0.72,0.0123,YOLO v3,1000
191/299,10.4G,0.877,1.3,0.0596,2.23,153,640,0.837,0.992,0.983,0.908,0.654,0.716,0.0121,YOLO v3,1000
192/299,10.4G,0.853,1.4,0.0517,2.3,151,416,0.836,0.992,0.983,0.907,0.649,0.717,0.0114,YOLO v3,1000
193/299,10.4G,0.859,1.42,0.0627,2.34,155,416,0.839,0.991,0.983,0.908,0.652,0.717,0.0113,YOLO v3,1000
194/299,10.4G,0.879,1.5,0.0611,2.44,152,416,0.841,0.991,0.982,0.91,0.66,0.716,0.0112,YOLO v3,1000
195/299,10.4G,0.863,1.47,0.0473,2.38,161,320,0.839,0.991,0.983,0.909,0.658,0.716,0.0111,YOLO v3,1000
196/299,10.4G,0.849,1.33,0.0527,2.23,160,416,0.838,0.991,0.982,0.908,0.651,0.713,0.0119,YOLO v3,1000
197/299,10.4G,0.832,1.31,0.0506,2.19,124,512,0.838,0.991,0.982,0.908,0.65,0.712,0.012,YOLO v3,1000
198/299,10.4G,0.85,1.34,0.053,2.24,123,480,0.839,0.992,0.983,0.909,0.642,0.704,0.0122,YOLO v3,1000
199/299,10.4G,0.845,1.33,0.0578,2.23,144,544,0.845,0.991,0.984,0.912,0.641,0.7,0.0117,YOLO v3,1000
200/299,10.4G,0.842,1.43,0.0413,2.31,154,512,0.848,0.99,0.984,0.914,0.643,0.701,0.0124,YOLO v3,1000
201/299,10.4G,0.835,1.39,0.0549,2.28,167,608,0.849,0.99,0.984,0.914,0.647,0.702,0.0125,YOLO v3,1000
202/299,10.4G,0.859,1.48,0.0547,2.4,126,640,0.846,0.991,0.983,0.913,0.654,0.708,0.0126,YOLO v3,1000
203/299,10.4G,0.824,1.28,0.0535,2.16,183,416,0.852,0.99,0.984,0.916,0.649,0.704,0.0137,YOLO v3,1000
204/299,10.4G,0.823,1.36,0.0473,2.23,135,576,0.855,0.99,0.984,0.917,0.648,0.702,0.0144,YOLO v3,1000
205/299,10.4G,0.819,1.41,0.0472,2.28,158,320,0.856,0.989,0.984,0.918,0.654,0.705,0.0152,YOLO v3,1000
206/299,10.4G,0.81,1.27,0.0448,2.12,155,576,0.858,0.99,0.984,0.919,0.653,0.701,0.0148,YOLO v3,1000
207/299,10.4G,0.826,1.4,0.0562,2.28,141,384,0.857,0.99,0.984,0.919,0.653,0.7,0.0142,YOLO v3,1000
208/299,10.4G,0.83,1.31,0.0485,2.19,116,480,0.862,0.99,0.984,0.922,0.651,0.698,0.0134,YOLO v3,1000
209/299,10.4G,0.82,1.32,0.0532,2.19,112,352,0.86,0.989,0.984,0.92,0.648,0.698,0.0128,YOLO v3,1000
210/299,10.4G,0.795,1.3,0.0467,2.14,195,640,0.859,0.99,0.984,0.92,0.65,0.698,0.0122,YOLO v3,1000
211/299,10.4G,0.816,1.41,0.0496,2.28,144,352,0.856,0.99,0.984,0.918,0.65,0.699,0.0116,YOLO v3,1000
212/299,10.4G,0.813,1.25,0.0534,2.12,166,480,0.856,0.991,0.984,0.918,0.641,0.694,0.0106,YOLO v3,1000
213/299,10.4G,0.802,1.32,0.0505,2.18,173,512,0.855,0.991,0.984,0.918,0.643,0.694,0.0106,YOLO v3,1000
214/299,10.4G,0.791,1.34,0.0494,2.18,146,576,0.857,0.991,0.985,0.919,0.646,0.694,0.0107,YOLO v3,1000
215/299,10.4G,0.791,1.32,0.0442,2.16,159,576,0.856,0.991,0.985,0.919,0.644,0.695,0.0108,YOLO v3,1000
216/299,10.4G,0.77,1.22,0.0394,2.02,165,544,0.858,0.992,0.985,0.92,0.64,0.693,0.011,YOLO v3,1000
217/299,10.4G,0.79,1.26,0.0417,2.09,157,544,0.86,0.991,0.985,0.921,0.636,0.691,0.0113,YOLO v3,1000
218/299,10.4G,0.783,1.22,0.0407,2.04,181,448,0.862,0.991,0.985,0.922,0.63,0.686,0.0114,YOLO v3,1000
219/299,10.4G,0.786,1.31,0.0445,2.14,145,512,0.862,0.991,0.985,0.922,0.63,0.683,0.0113,YOLO v3,1000
220/299,10.4G,0.793,1.26,0.036,2.09,143,544,0.861,0.991,0.985,0.922,0.63,0.68,0.0109,YOLO v3,1000
